parça (model adı);kalem;adet;tanım / ürün;not / ölçü;birim;tür
plint_on_1.5;Plint ön sacı;1;304 1,5 · 60 geride;;B_KASA;ÜRETİM
ayak_0;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;6;paslanmaz AISI 304 · taban Ø40 · yükseklik 123 (v4);elesa-ganter.com LV.A-SST · 123'e uygun diş boyu katalogdan seçilecek;B_KASA;SATIN ALMA
ayak_1;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_2;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_3;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_4;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
ayak_5;ayak;0;304 · lazer / lama;alt gövde → Elesa LV.A-SST;B_KASA;ALT
yan_dis_sac_sol;Yan dış sac 1,5;2;304 lazer + büküm;;B_KASA;ÜRETİM
yan_pu_sol;yan pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
yan_ic_sac_sol;yan ic sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 788.5;B_KASA;ÜRETİM
yan_on_donus_sol;yan on donus;1;304 sac · lazer + büküm;zarf 28.5 × 934.0 × 1.5;B_KASA;ÜRETİM
yan_dis_sac_sag;yan dis sac;0;304 sac · lazer + büküm;alt gövde → Yan dış sac 1,5 (× 2);B_KASA;ALT
yan_pu_sag;yan pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
yan_ic_sac_sag;yan ic sac;1;304 sac · lazer + büküm;zarf 1.0 × 875.5 × 788.5;B_KASA;ÜRETİM
yan_on_donus_sag;yan on donus;1;304 sac · lazer + büküm;zarf 28.5 × 934.0 × 1.5;B_KASA;ÜRETİM
tavan_dis_sac;Tavan dış sacı;1;304 1,5 · A ve C bunun üstüne oturur;;B_KASA;ÜRETİM
tavan_pu_57.5;PU köpük gövde;1;40 kg/m³ enjeksiyon · sac kabuk içine;yan 27,5 · tavan 57,5 · arka 37,5 · taban 39;B_KASA;ÜRETİM
tavan_ic_sac;tavan ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 1.0 × 788.5;B_KASA;ÜRETİM
tavan_on_donus;tavan on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 58.5 × 1.5;B_KASA;ÜRETİM
taban_dis_sac;taban dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 1.5 × 830.0;B_KASA;ÜRETİM
taban_pu;taban pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
taban_ic_sac;taban ic sac;1;304 sac · lazer + büküm;zarf 1996.5 × 1.0 × 788.5;B_KASA;ÜRETİM
taban_k4_kademe_saci;Taban kademe sacı 1,0;1;304 · yalıtımlı tabanın K4 tarafındaki ucunu kapatır;v4: K4 sıcak bölmesi 40 mm alçak;B_KASA;ÜRETİM
taban_on_donus;taban on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 40.0 × 1.5;B_KASA;ÜRETİM
arka_dis_sac;arka dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 934.0 × 1.5;B_KASA;ÜRETİM
arka_pu_37.5;arka pu 37.5;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
arka_ic_sac;arka ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 835.5 × 1.0;B_KASA;ÜRETİM
arka_pu_k4_alt;arka pu k4 alt;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
arka_ic_sac_k4_alt;arka ic sac k4 alt;1;304 sac · lazer + büküm;zarf 442.5 × 40.0 × 1.0;B_KASA;ÜRETİM
bolme_0_sac_a;bolme 0 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_0_pu;bolme 0 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_0_sac_b;bolme 0 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_1_sac_a;bolme 1 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_1_pu;bolme 1 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_1_sac_b;bolme 1 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_2_sac_a;bolme 2 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
bolme_2_pu;bolme 2 pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
bolme_2_sac_b;bolme 2 sac;1;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0;B_KASA;ÜRETİM
k1_teknik_raf_sac_alt;k1 teknik raf sac alt;1;304 sac · lazer + büküm;zarf 620.0 × 1.0 × 734.0;B_KASA;ÜRETİM
k1_teknik_raf_pu_38;k1 teknik raf pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_KASA;ALT
k1_teknik_raf_sac_ust;k1 teknik raf sac ust;1;304 sac · lazer + büküm;zarf 620.0 × 1.0 × 734.0;B_KASA;ÜRETİM
pano_montaj_plakasi;Pano montaj plakası 2 mm;1;galvaniz;;B_ELEKTRIK;ÜRETİM
din_ray;DIN ray TS35 × 7,5;1;;;B_ELEKTRIK;SATIN ALMA
plc_S7-1200_1214C;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · 14 DI · 10 DQ · PROFINET/Modbus TCP;110 × 100 × 75;B_ELEKTRIK;SATIN ALMA
plc_SM1221_DI16_a;PLC genişleme SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75 · 42 reed + 21 röle;B_ELEKTRIK;SATIN ALMA
plc_SM1221_DI16_b;PLC genişleme SM1221 DI16;0;6ES7221-1BH32-0XB0;alt gövde → SM1221;B_ELEKTRIK;ALT
plc_SM1222_DQ16;PLC genişleme SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75 · 42 reed + 21 röle;B_ELEKTRIK;SATIN ALMA
guc_kaynagi_NDR-240-24;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · DIN;63 × 125,2 × 113,5;B_ELEKTRIK;SATIN ALMA
surucu_EM-324C;DC motor sürücü Electromen EM-324C + DIN taban;1;10–35 V · 4 A · akım sınırı · NPN/PNP;72 genişlik taban [yükseklik/derinlik VARSAYIM];B_ELEKTRIK;SATIN ALMA
role_01;Seçici röle Phoenix Contact PLC-RSC-24DC/21;21;6,2 mm · 1 değiştirici · 24 V bobin;hangi çekmecenin motoru sürücüye bağlanacak [boyut VARSAYIM];B_ELEKTRIK;SATIN ALMA
role_02;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_03;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_04;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_05;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_06;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_07;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_08;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_09;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_10;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_11;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_12;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_13;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_14;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_15;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_16;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_17;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_18;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_19;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_20;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
role_21;role;0;;alt gövde → Phoenix PLC-RSC;B_ELEKTRIK;ALT
klemens_blogu;Klemens bloğu;1;Phoenix UT 2,5 · 21 motor + 42 sensör + güç;kalan genişlik;B_ELEKTRIK;SATIN ALMA
