tür;kalem;toplam adet;tanım / ürün;not / ölçü
SATIN ALMA;Ayarlı ayak Elesa+Ganter LV.A-SST · M12;6;paslanmaz AISI 304 · taban Ø40 · yükseklik 123 (v4);elesa-ganter.com LV.A-SST · 123'e uygun diş boyu katalogdan seçilecek
SATIN ALMA;DC motor sürücü Electromen EM-324C + DIN taban;1;10–35 V · 4 A · akım sınırı · NPN/PNP;72 genişlik taban [yükseklik/derinlik VARSAYIM]
SATIN ALMA;DIN ray TS35 × 7,5;2;;
SATIN ALMA;Fan ebm-papst 4414 FNH;4;24 V · 119 × 119 × 25;evaporatör önünde, havayı kolon içine basar
SATIN ALMA;Fitil · geçmeli manyetik profil 21 × 18,5;25;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1264 mm · köşeler gönye kaynaklı
SATIN ALMA;GN 1/1-100 kap + kapak;1;304 · EN 631 · 530 × 325 × 100;kaşar blok 2 gün = 8,8 kg (yoğunluk VARSAYIM)
SATIN ALMA;GN 1/2-100 kap + kapak;1;304 · EN 631 · 325 × 265 × 100;küp sucuk 2 gün = 2,8 kg
SATIN ALMA;GT3 avara 30 diş · 6 mm · çift rulman;24;alüminyum · 2 × 625-2RS;ön çerçevenin 17 mm arkası
SATIN ALMA;GT3 kasnak 30 diş · 6 mm · flanşlı;24;alüminyum · delik Ø8 H7 + düz;PD 28,65 · çevre 90 mm
SATIN ALMA;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · DIN;63 × 125,2 × 113,5
SATIN ALMA;Kablo kanalı 40 × 25;5;PVC perfore + kapak;dikey her kolonda + üstte yatay
SATIN ALMA;Kayış GT3 6 mm kapalı çevrim;24;~1482 mm (494 diş) · çelik kordlu;tedarikçi boyu doğrulayacak
SATIN ALMA;Klemens bloğu;1;Phoenix UT 2,5 · 25 motor + 50 sensör + güç;kalan genişlik
SATIN ALMA;M12 4 pin soket + kablo;24;motor + enkoder tek soket · kasada sabit;kablo dikey kanala
SATIN ALMA;Motor Transmotec PD3665-24-51-BFEC;24;24 V · planet 51:1 · 127 d/dk · 0,853 N·m · manyetik enkoder · EMC filtreli;Ø36 × 115,5 + enkoder · datasheet: transmotec.com PD3665
